Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb
6.17 km/L,21.38 MPG (AS),13.86 L/100km
14.79 MPG (AS),10.70 L/100km,1.36 L/10km
9.90 L/100km,6.90 L/100 km,8.55 L/100 km
20.92 mpg Imp.,0.98 L/10km,23.87 mpg Imp.
9.17 km/L,12.66 km/L,9.55 L/100km
14.90 L/100 km,24.00 MPG (AS),22.41 mpg Imp.
8.62 km per L,11.36 km per L,9.67 km/L
1.46 L/10km,7.70 liters per 100 km,8.70 km/L
8.10 L/100 km,30.55 MPG (AS),7.92 L/100km
zero,9.43 km/L,11.70 L/100km
15.90 liters per 100 km,30.05 mpg Imp.,12.97 L/100km
8.00 L/100km,7.00 liters per 100 km,7.55 liters per 100 km
0.81 L/10km,8.10 L/100 km,8.10 liters per 100 km
16.20 liters per 100 km,29.73 mpg Imp.,17.84 MPG (AS)
1.70 L/10km,17.70 L/100 km,13.58 MPG (AS)
not-available,12.99 km per L,10.45 L/100 km
11.60 liters per 100 km,0.89 L/10km,10.38 L/100km
14.60 liters per 100 km,9.10 L/100km,12.12 L/100km
18.30 liters per 100 km,10.60 liters per 100 km,14.84 L/100 km
11.36 km per L,14.71 km per L,29.77 MPG (AS)
24.00 L/100km,10.40 liters per 100 km,1.79 L/10km
15.40 L/100 km,12.30 L/100 km,14.01 L/100 km
11.50 L/100km,11.36 km per L,27.47 mpg Imp.
0.42 L/10km,0.60 L/10km,5.01 L/100 km
9.26 km/L,9.60 liters per 100 km,27.53 mpg Imp.
9.62 km/L,6.80 L/100 km,8.78 L/100 km
12.50 L/100km,28.34 MPG (AS),10.61 L/100km
12.40 L/100 km,,1.10 L/10km
9.20 liters per 100 km,6.70 liters per 100 km,34.98 mpg Imp.
31.39 mpg Imp.,8.30 L/100 km,0.87 L/10km
not-available,6.40 liters per 100 km,35.83 mpg Imp.
9.17 km/L,7.60 L/100km,9.41 liters per 100 km
16.80 MPG (AS),16.13 km per L,22.42 MPG (AS)
4.22 km/L,1.83 L/10km,2.13 L/10km
32.85 mpg Imp.,0.67 L/10km,30.37 MPG (AS)
6.76 km/L,9.10 L/100km,19.22 MPG (AS)
5.75 km/L,,14.12 L/100 km
18.10 L/100 km,12.10 L/100 km,15.27 MPG (AS)
8.33 km per L,0.88 L/10km,9.47 km per L
0.99 L/10km,42.16 mpg Imp.,8.46 L/100km
30.37 mpg Imp.,30.55 MPG (AS),32.92 mpg Imp.
6.02 km per L,9.20 L/100 km,1.33 L/10km
8.80 L/100 km,7.90 liters per 100 km,8.39 L/100 km
0.95 L/10km,13.89 km per L,8.46 liters per 100 km
,,1.28 L/10km
1.61 L/10km,24.35 mpg Imp.,14.07 liters per 100 km
20.60 L/100km,6.71 km per L,18.04 liters per 100 km
13.00 MPG (AS),5.95 km per L,1.75 L/10km
16.22 MPG (AS),10.00 L/100 km,18.85 MPG (AS)
13.16 km/L,7.90 L/100km,7.74 L/100km
11.90 liters per 100 km,30.95 MPG (AS),9.96 liters per 100 km
17.70 liters per 100 km,15.18 MPG (AS),14.08 MPG (AS)
0.88 L/10km,32.67 MPG (AS),0.81 L/10km
15.89 MPG (AS),11.50 L/100km,17.67 MPG (AS)
23.81 km/L,7.00 L/100 km,5.46 L/100km
1.17 L/10km,38.17 mpg Imp.,28.93 mpg Imp.
7.04 km/L,22.78 mpg Imp.,13.39 L/100 km
10.20 L/100 km,14.29 km per L,8.76 liters per 100 km
8.50 L/100 km,9.90 km per L,0.92 L/10km
10.20 km/L,29.77 MPG (AS),11.18 km/L
9.01 km/L,9.30 L/100km,10.29 liters per 100 km
9.62 km per L,35.64 MPG (AS),27.07 MPG (AS)
14.52 MPG (AS),8.20 km per L,14.40 liters per 100 km
22.00 liters per 100 km,19.22 mpg Imp.,15.09 mpg Imp.
17.50 L/100 km,1.19 L/10km,1.50 L/10km
10.80 L/100km,28.68 MPG (AS),10.38 km per L
1.11 L/10km,,10.91 km/L
1.53 L/10km,13.50 L/100 km,14.49 liters per 100 km
28.00 MPG (AS),5.60 L/100 km,7.14 L/100km
1.14 L/10km,8.10 L/100 km,9.91 liters per 100 km
1.83 L/10km,8.55 km/L,15.33 L/100 km
9.40 liters per 100 km,13.70 km per L,11.83 km/L
5.52 km per L,1.26 L/10km,15.62 L/100km
2.21 L/10km,,17.02 L/100km
10.42 km/L,0.77 L/10km,8.74 liters per 100 km
15.08 MPG (AS),27.16 mpg Imp.,17.74 MPG (AS)
31.39 mpg Imp.,26.73 MPG (AS),8.91 liters per 100 km
5.65 km/L,11.50 L/100 km,14.91 liters per 100 km
1.01 L/10km,5.40 L/100 km,7.99 L/100 km
,8.40 L/100km,1.02 L/10km
5.50 L/100 km,14.49 km per L,46.08 mpg Imp.
0.97 L/10km,12.05 km per L,11.03 km/L
21.19 MPG (AS),14.80 L/100km,12.77 L/100 km
1.09 L/10km,7.50 liters per 100 km,10.67 km per L
12.10 L/100 km,0.66 L/10km,29.35 mpg Imp.
11.40 liters per 100 km,8.50 liters per 100 km,9.91 km/L
17.10 L/100 km,1.01 L/10km,7.17 km/L
,11.30 L/100km,6.82 km/L
22.84 MPG (AS),27.04 MPG (AS),29.49 mpg Imp.
20.45 MPG (AS),7.30 L/100 km,9.61 L/100 km
8.85 km per L,10.53 km per L,9.53 km per L
17.60 liters per 100 km,6.80 km per L,16.30 liters per 100 km
7.35 km/L,22.19 MPG (AS),19.20 MPG (AS)
,zero,13.01 L/100km
9.30 L/100 km,14.93 km per L,28.93 MPG (AS)
18.09 MPG (AS),0.87 L/10km,9.04 km per L
21.00 MPG (AS),0.67 L/10km,9.18 liters per 100 km
1.33 L/10km,9.35 km per L,12.13 L/100 km
20.62 mpg Imp.,12.99 km/L,25.68 mpg Imp.
7.94 km/L,8.80 L/100km,9.18 km per L
25.02 MPG (AS),31.04 mpg Imp.,0.93 L/10km
9.40 L/100 km,0.80 L/10km,32.21 mpg Imp.
16.00 MPG (AS),8.80 L/100km,8.30 km/L
16.10 liters per 100 km,9.09 km per L,13.80 L/100 km
15.52 mpg Imp.,9.00 L/100 km,14.06 liters per 100 km
10.31 km per L,6.50 liters per 100 km,12.11 km per L
11.20 L/100km,31.04 mpg Imp.,27.55 mpg Imp.
10.40 L/100km,11.49 km/L,9.63 L/100km
9.30 L/100km,8.00 L/100 km,8.71 L/100 km
26.90 mpg Imp.,7.50 L/100 km,25.71 MPG (AS)
8.10 L/100km,45.23 MPG (AS),0.68 L/10km
12.66 km per L,6.30 L/100km,7.18 liters per 100 km
6.85 km/L,7.69 km/L,1.39 L/10km
14.10 L/100km,29.40 MPG (AS),8.81 km/L
9.20 L/100 km,13.51 km/L,11.92 km/L
18.58 mpg Imp.,1.09 L/10km,1.33 L/10km
14.70 L/100 km,11.36 km/L,8.30 km per L
10.87 km/L,30.95 MPG (AS),0.85 L/10km
14.10 liters per 100 km,8.00 L/100km,11.36 liters per 100 km
16.92 mpg Imp.,28.53 mpg Imp.,13.64 L/100km
15.20 L/100km,1.02 L/10km,12.95 L/100 km
25.85 MPG (AS),43.46 mpg Imp.,12.61 km per L
31.39 mpg Imp.,6.20 liters per 100 km,7.74 L/100 km
5.59 km/L,10.40 L/100km,6.88 km/L
1.34 L/10km,11.11 km/L,11.42 liters per 100 km
16.11 MPG (AS),8.90 L/100 km,1.20 L/10km
11.00 L/100km,9.20 L/100 km,1.02 L/10km
,6.10 liters per 100 km,7.80 L/100km
0.72 L/10km,,13.47 km/L
11.30 liters per 100 km,12.82 km per L,29.05 mpg Imp.
7.81 km per L,9.20 liters per 100 km,11.18 liters per 100 km
10.10 km/L,34.03 mpg Imp.,10.89 km per L
17.88 mpg Imp.,1.38 L/10km,6.71 km/L
not-available,0.90 L/10km,22.20 MPG (AS)
17.55 mpg Imp.,9.80 km/L,1.34 L/10km
8.26 km per L,35.76 mpg Imp.,23.04 MPG (AS)
1.20 L/10km,11.11 km per L,10.65 L/100km
14.40 L/100 km,23.06 MPG (AS),1.25 L/10km
22.40 MPG (AS),0.59 L/10km,0.84 L/10km
18.67 MPG (AS),12.82 km per L,9.58 km per L
2.01 L/10km,5.68 km per L,14.89 mpg Imp.
10.30 liters per 100 km,27.04 MPG (AS),9.58 liters per 100 km
14.34 mpg Imp.,,16.64 L/100 km
12.60 L/100km,9.50 liters per 100 km,8.92 km per L
17.55 mpg Imp.,16.90 L/100 km,1.65 L/10km
,10.53 km per L,8.97 km per L
22.62 MPG (AS),0.93 L/10km,0.99 L/10km
0.83 L/10km,0.79 L/10km,28.97 MPG (AS)
1.55 L/10km,1.64 L/10km,6.29 km/L
9.20 L/100 km,34.59 MPG (AS),8.12 L/100km
11.30 L/100 km,6.40 liters per 100 km,0.91 L/10km
18.40 L/100km,10.75 km per L,6.99 km/L
11.90 L/100 km,10.10 km per L,1.10 L/10km
5.75 km/L,8.40 km per L,15.76 MPG (AS)
18.11 mpg Imp.,6.58 km per L,15.42 L/100km
11.70 L/100 km,1.02 L/10km,9.07 km/L
9.17 km per L,8.80 L/100 km,10.05 km per L
10.10 km/L,37.66 mpg Imp.,26.67 MPG (AS)
8.30 L/100 km,7.30 L/100 km,35.98 mpg Imp.
1.05 L/10km,0.69 L/10km,8.88 liters per 100 km
5.30 L/100km,6.60 liters per 100 km,48.00 mpg Imp.
15.80 L/100km,18.22 mpg Imp.,15.66 L/100 km
8.50 L/100km,7.60 L/100 km,12.35 km/L
23.74 mpg Imp.,8.10 liters per 100 km,27.72 mpg Imp.
9.90 km/L,13.16 km per L,26.21 MPG (AS)
51.36 mpg Imp.,0.78 L/10km,35.99 MPG (AS)
19.09 mpg Imp.,8.80 liters per 100 km,12.10 L/100 km
18.22 mpg Imp.,11.36 km per L,8.01 km/L
0.86 L/10km,6.70 liters per 100 km,7.75 L/100 km
1.76 L/10km,8.20 km per L,15.17 liters per 100 km
11.20 L/100 km,9.00 liters per 100 km,10.21 L/100km
8.85 km/L,0.87 L/10km,10.13 liters per 100 km
21.58 MPG (AS),8.90 liters per 100 km,28.25 mpg Imp.
21.58 MPG (AS),34.03 mpg Imp.,0.97 L/10km
12.00 L/100 km,34.03 mpg Imp.,10.34 liters per 100 km
16.50 liters per 100 km,10.40 L/100km,13.76 liters per 100 km
0.89 L/10km,13.16 km/L,8.31 L/100km
34.87 mpg Imp.,13.16 km per L,35.87 mpg Imp.
7.46 km per L,10.90 L/100 km,12.28 L/100km
9.90 km/L,14.08 km/L,0.88 L/10km
17.70 L/100km,22.62 MPG (AS),6.94 km/L
38.17 mpg Imp.,12.99 km/L,7.54 liters per 100 km
10.00 liters per 100 km,7.80 L/100 km,31.35 mpg Imp.
20.10 liters per 100 km,6.76 km per L,17.71 L/100km
11.82 MPG (AS),,17.34 L/100km
14.00 L/100km,10.50 L/100 km,12.43 L/100 km
1.81 L/10km,19.77 MPG (AS),6.53 km per L
10.00 km per L,7.80 L/100km,26.11 MPG (AS)
12.90 L/100km,zero,1.08 L/10km
11.20 L/100 km,7.90 L/100 km,10.29 km per L
9.62 km/L,8.30 L/100km,9.46 L/100km
14.43 MPG (AS),8.26 km/L,14.41 L/100km
14.98 MPG (AS),1.01 L/10km,17.85 MPG (AS)
10.50 L/100 km,11.24 km per L,0.98 L/10km
9.52 km/L,8.70 liters per 100 km,10.32 km/L
9.60 liters per 100 km,29.04 MPG (AS),8.93 liters per 100 km
25.00 mpg Imp.,18.38 MPG (AS),8.35 km/L
0.99 L/10km,0.89 L/10km,24.89 MPG (AS)
16.00 L/100 km,8.33 km/L,16.56 MPG (AS)
9.62 km/L,0.79 L/10km,9.28 L/100km
19.93 MPG (AS),13.33 km per L,28.63 mpg Imp.
4.61 km/L,23.74 mpg Imp.,17.29 L/100 km
26.73 MPG (AS),13.33 km per L,8.21 L/100 km
28.00 MPG (AS),37.34 MPG (AS),13.41 km/L
28.25 mpg Imp.,6.20 liters per 100 km,
7.04 km per L,12.99 km per L,20.86 MPG (AS)
4.78 km/L,14.87 mpg Imp.,4.99 km per L
0.95 L/10km,36.19 MPG (AS),8.15 L/100 km
,10.90 L/100 km,19.15 mpg Imp.
27.04 MPG (AS),26.73 MPG (AS),0.87 L/10km
9.20 L/100km,13.70 km per L,28.19 MPG (AS)
1.25 L/10km,10.53 km per L,21.10 MPG (AS)
9.71 km/L,26.40 mpg Imp.,22.44 MPG (AS)
10.20 liters per 100 km,38.70 mpg Imp.,31.76 mpg Imp.
31.39 mpg Imp.,12.35 km per L,8.60 L/100 km
16.05 mpg Imp.,12.30 liters per 100 km,6.57 km per L
13.16 km/L,8.70 L/100 km,0.81 L/10km
15.00 liters per 100 km,11.70 L/100 km,20.90 mpg Imp.
not-available,33.23 mpg Imp.,10.43 L/100km
20.70 L/100 km,15.90 L/100 km,1.85 L/10km
18.52 MPG (AS),8.40 L/100 km,9.29 km per L
18.60 L/100 km,18.30 L/100 km,5.42 km/L
12.90 liters per 100 km,7.40 liters per 100 km,9.59 km per L
11.49 km per L,8.20 L/100 km,27.75 MPG (AS)
11.10 liters per 100 km,10.60 L/100km,10.88 L/100km
15.47 MPG (AS),1.01 L/10km,7.75 km per L
10.90 L/100 km,8.00 L/100 km,9.60 L/100 km
12.90 liters per 100 km,,10.70 liters per 100 km
14.00 MPG (AS),9.40 L/100km,1.35 L/10km
12.90 liters per 100 km,32.22 MPG (AS),1.04 L/10km
9.62 km per L,16.39 km/L,27.79 MPG (AS)
47.08 mpg Imp.,34.59 MPG (AS),6.36 liters per 100 km
7.30 km/L,27.69 mpg Imp.,1.21 L/10km
15.80 L/100 km,26.16 mpg Imp.,13.55 L/100km
25.92 mpg Imp.,12.35 km per L,10.37 km per L
24.35 mpg Imp.,13.70 km per L,
8.50 L/100 km,39.79 mpg Imp.,0.79 L/10km
19.00 liters per 100 km,11.10 L/100km,1.54 L/10km
18.34 mpg Imp.,9.01 km per L,1.35 L/10km
9.26 km/L,6.90 L/100 km,26.00 MPG (AS)
11.50 L/100 km,11.24 km/L,9.68 km/L
10.60 liters per 100 km,14.29 km per L,
9.01 km per L,11.90 km/L,9.88 L/100km
7.94 km/L,8.70 L/100km,1.08 L/10km
11.63 km per L,13.51 km per L,29.18 MPG (AS)
,23.54 mpg Imp.,14.47 liters per 100 km
1.92 L/10km,16.92 MPG (AS),1.68 L/10km
11.30 L/100km,6.20 L/100km,
10.10 L/100 km,7.00 L/100km,0.87 L/10km
21.19 MPG (AS),16.39 km per L,8.85 liters per 100 km
15.37 MPG (AS),11.60 liters per 100 km,7.33 km per L
8.70 liters per 100 km,7.10 L/100 km,7.98 L/100 km
9.30 liters per 100 km,13.51 km/L,0.84 L/10km
6.06 km per L,0.94 L/10km,7.52 km per L
18.83 mpg Imp.,7.04 km per L,6.83 km per L
1.46 L/10km,9.90 km/L,12.57 L/100 km
8.00 L/100km,10.00 km per L,26.43 MPG (AS)
1.90 L/10km,10.50 liters per 100 km,18.61 mpg Imp.
10.00 liters per 100 km,11.63 km per L,
,6.90 L/100 km,47.80 mpg Imp.
zero,11.20 L/100 km,1.40 L/10km
13.00 L/100 km,,11.15 L/100 km
27.69 mpg Imp.,6.70 L/100km,8.62 liters per 100 km
10.20 L/100km,32.22 MPG (AS),11.24 km/L
8.20 L/100 km,7.50 liters per 100 km,7.88 L/100 km
27.16 mpg Imp.,28.00 MPG (AS),9.50 L/100km
11.24 km per L,9.40 L/100 km,25.78 MPG (AS)
9.01 km per L,0.83 L/10km,0.98 L/10km
13.10 L/100 km,10.75 km per L,20.65 MPG (AS)
20.77 mpg Imp.,28.25 mpg Imp.,11.98 L/100 km
1.23 L/10km,8.80 L/100km,26.34 mpg Imp.
15.20 L/100km,10.75 km/L,22.52 mpg Imp.
18.50 liters per 100 km,14.10 liters per 100 km,6.05 km/L
11.10 liters per 100 km,14.29 km per L,10.80 km per L
7.94 km/L,11.49 km per L,9.22 km per L
10.87 km per L,0.80 L/10km,
17.10 liters per 100 km,11.70 liters per 100 km,14.67 L/100km
6.13 km/L,27.16 mpg Imp.,1.36 L/10km
8.60 L/100 km,8.60 L/100km,8.60 L/100km
zero,,11.04 liters per 100 km
11.00 L/100km,7.30 L/100 km,0.93 L/10km
8.62 km per L,7.80 L/100km,9.89 liters per 100 km
25.22 mpg Imp.,zero,23.66 MPG (AS)
19.77 MPG (AS),8.60 L/100 km,zero
19.70 L/100 km,17.30 L/100 km,18.62 L/100km
21.78 MPG (AS),23.76 MPG (AS),1.04 L/10km
8.70 km/L,30.55 MPG (AS),0.98 L/10km
13.39 mpg Imp.,11.10 L/100km,1.66 L/10km
17.33 mpg Imp.,11.80 liters per 100 km,19.79 mpg Imp.
1.75 L/10km,11.00 liters per 100 km,14.57 liters per 100 km
24.00 MPG (AS),8.00 L/100km,8.99 liters per 100 km
9.71 km/L,0.82 L/10km,9.36 L/100 km
zero,0.91 L/10km,10.04 L/100 km
30.55 MPG (AS),7.20 L/100km,7.47 L/100 km
6.71 km/L,8.50 L/100 km,
8.70 L/100km,34.59 MPG (AS),36.01 mpg Imp.
9.52 km per L,6.90 L/100 km,31.81 mpg Imp.
8.33 km per L,40.94 mpg Imp.,24.24 MPG (AS)
20.47 mpg Imp.,9.09 km/L,7.97 km/L
16.22 MPG (AS),22.84 MPG (AS),12.61 L/100km
22.84 MPG (AS),20.45 MPG (AS),
zero,8.10 L/100km,24.26 MPG (AS)
15.90 L/100 km,25.02 MPG (AS),12.97 L/100km
6.02 km/L,9.80 L/100km,17.37 MPG (AS)
8.13 km per L,25.57 MPG (AS),25.90 mpg Imp.
22.07 mpg Imp.,10.00 km/L,24.48 mpg Imp.
26.14 MPG (AS),13.33 km per L,33.93 mpg Imp.
6.41 km/L,11.49 km/L,8.00 km per L
10.00 km/L,0.69 L/10km,27.33 MPG (AS)
12.10 L/100 km,11.30 liters per 100 km,
22.24 mpg Imp.,10.64 km per L,11.21 liters per 100 km
30.37 mpg Imp.,13.89 km/L,8.36 L/100 km
6.21 km per L,7.94 km/L,14.53 liters per 100 km
15.40 L/100 km,17.17 MPG (AS),19.30 mpg Imp.
0.99 L/10km,0.83 L/10km,9.18 liters per 100 km
9.71 km/L,,11.46 km per L
25.57 MPG (AS),0.77 L/10km,
18.34 mpg Imp.,6.94 km/L,14.95 L/100km
6.45 km/L,11.30 L/100 km,17.28 MPG (AS)
7.30 L/100km,7.70 liters per 100 km,13.37 km/L
1.09 L/10km,0.91 L/10km,
18.87 km per L,6.90 L/100 km,16.61 km/L
1.28 L/10km,7.90 L/100 km,9.44 km per L
13.00 L/100km,0.82 L/10km,10.84 L/100km
24.00 MPG (AS),7.40 liters per 100 km,8.72 L/100 km
10.90 L/100km,7.00 liters per 100 km,10.93 km/L
17.70 liters per 100 km,12.30 liters per 100 km,15.40 MPG (AS)
not-available,zero,29.75 mpg Imp.
30.70 mpg Imp.,6.90 liters per 100 km,28.81 MPG (AS)
26.40 mpg Imp.,13.70 km/L,30.80 mpg Imp.
17.30 L/100km,26.65 mpg Imp.,14.29 L/100km
13.80 L/100km,31.74 mpg Imp.,11.60 L/100km
6.33 km/L,1.32 L/10km,
22.20 liters per 100 km,15.00 L/100km,14.90 mpg Imp.
7.09 km per L,0.94 L/10km,1.20 L/10km
6.45 km per L,10.00 km per L,13.03 L/100 km
21.19 MPG (AS),7.10 L/100 km,9.30 liters per 100 km
5.20 L/100km,7.50 L/100 km,6.24 L/100 km
6.10 km per L,11.20 L/100km,7.11 km per L
8.81 MPG (AS),11.70 L/100 km,19.95 L/100 km
13.92 MPG (AS),13.40 L/100 km,15.32 liters per 100 km
8.62 km/L,40.94 mpg Imp.,24.80 MPG (AS)
1.40 L/10km,11.30 liters per 100 km,7.82 km per L
12.99 km per L,7.50 liters per 100 km,7.61 L/100 km
19.89 mpg Imp.,26.40 mpg Imp.,22.37 mpg Imp.
51.13 MPG (AS),16.39 km/L,5.28 L/100 km
12.40 L/100 km,9.60 L/100 km,8.98 km per L
10.80 liters per 100 km,,8.68 km/L
1.61 L/10km,21.38 MPG (AS),20.46 mpg Imp.
11.70 L/100 km,23.74 mpg Imp.,19.95 MPG (AS)
8.33 km per L,6.80 L/100 km,9.66 L/100km
20.92 mpg Imp.,10.53 km per L,20.10 MPG (AS)
9.50 liters per 100 km,12.50 km per L,8.82 liters per 100 km
14.20 L/100 km,1.00 L/10km,19.11 MPG (AS)
17.50 L/100km,10.50 L/100km,14.35 L/100 km
11.00 L/100km,12.35 km per L,24.26 MPG (AS)
18.10 L/100 km,8.62 km/L,18.61 mpg Imp.
10.53 km per L,12.05 km/L,8.96 liters per 100 km
1.02 L/10km,8.20 liters per 100 km,9.30 L/100 km
10.40 liters per 100 km,6.90 L/100 km,8.82 liters per 100 km
27.69 mpg Imp.,10.53 km per L,9.88 L/100km
30.95 MPG (AS),44.14 mpg Imp.,14.16 km/L
15.50 L/100km,9.90 L/100km,18.12 MPG (AS)
1.28 L/10km,11.49 km/L,10.96 L/100km
,8.90 liters per 100 km,1.03 L/10km
26.65 mpg Imp.,0.65 L/10km,11.42 km/L
15.87 mpg Imp.,21.40 mpg Imp.,15.73 L/100km
9.10 L/100km,7.80 L/100km,33.17 mpg Imp.
1.75 L/10km,9.43 km/L,14.39 L/100km
22.60 mpg Imp.,11.36 km/L,1.08 L/10km
23.94 mpg Imp.,37.66 mpg Imp.,23.84 MPG (AS)
31.04 mpg Imp.,13.51 km per L,8.34 L/100 km
7.69 km per L,7.80 L/100 km,22.07 MPG (AS)
15.60 liters per 100 km,not-available,13.71 liters per 100 km
9.43 km/L,9.20 L/100 km,10.03 km per L
8.55 km/L,8.70 liters per 100 km,9.66 km/L
10.87 km/L,44.84 mpg Imp.,
4.74 km per L,8.55 km/L,16.87 L/100 km
13.60 L/100km,11.90 km per L,25.09 mpg Imp.
5.80 liters per 100 km,6.50 liters per 100 km,6.12 liters per 100 km
6.02 km/L,10.20 L/100 km,1.37 L/10km
13.84 MPG (AS),31.39 mpg Imp.,13.40 liters per 100 km
8.93 km per L,40.94 mpg Imp.,9.27 L/100km
6.49 km per L,8.80 liters per 100 km,1.24 L/10km
1.88 L/10km,9.01 km per L,6.52 km/L
11.00 liters per 100 km,36.22 mpg Imp.,9.56 L/100 km
1.93 L/10km,25.00 mpg Imp.,1.57 L/10km
8.55 km/L,32.67 MPG (AS),10.34 km/L
9.70 L/100km,12.82 km per L,26.59 MPG (AS)
6.80 km/L,7.00 L/100km,8.90 km/L
6.02 km per L,10.70 liters per 100 km,20.26 mpg Imp.
16.14 mpg Imp.,16.00 liters per 100 km,5.94 km/L
32.85 mpg Imp.,8.40 L/100 km,not-available
10.53 km per L,0.76 L/10km,zero
not-available,1.21 L/10km,16.89 L/100km
23.94 mpg Imp.,21.98 MPG (AS),not-available
14.40 liters per 100 km,9.90 L/100km,1.24 L/10km
11.49 km per L,17.86 km per L,32.20 MPG (AS)
6.10 km per L,0.97 L/10km,13.38 L/100 km
11.50 liters per 100 km,29.04 MPG (AS),1.00 L/10km
20.77 mpg Imp.,10.60 liters per 100 km,12.25 L/100 km
24.00 MPG (AS),16.39 km per L,0.81 L/10km
20.63 MPG (AS),36.22 mpg Imp.,9.78 L/100km
8.55 km/L,8.60 liters per 100 km,1.03 L/10km
9.90 km per L,39.23 mpg Imp.,8.79 liters per 100 km
16.20 L/100km,15.60 L/100 km,
1.32 L/10km,10.20 km per L,20.16 MPG (AS)
1.09 L/10km,7.00 L/100 km,25.72 MPG (AS)
11.50 L/100 km,27.35 MPG (AS),9.81 km/L
9.52 km per L,0.88 L/10km,9.73 L/100km
7.63 km per L,9.30 L/100 km,20.65 MPG (AS)
11.70 liters per 100 km,11.49 km/L,9.66 km/L
16.60 liters per 100 km,9.17 km/L,20.13 mpg Imp.
22.97 mpg Imp.,0.93 L/10km,9.13 km per L
4.48 km/L,11.90 L/100km,16.03 mpg Imp.
31.74 mpg Imp.,7.40 L/100km,0.82 L/10km
1.50 L/10km,7.19 km/L,14.51 L/100 km
39.79 mpg Imp.,0.64 L/10km,0.68 L/10km
16.00 L/100 km,9.60 liters per 100 km,13.12 L/100km
9.40 liters per 100 km,7.20 L/100km,0.84 L/10km
7.30 km/L,8.13 km per L,7.65 km per L
0.44 L/10km,31.36 MPG (AS),48.75 mpg Imp.
zero,8.00 km per L,23.32 mpg Imp.
22.40 MPG (AS),10.10 L/100km,10.32 L/100 km
16.22 MPG (AS),8.00 liters per 100 km,8.64 km/L
6.37 km per L,27.67 MPG (AS),12.46 L/100km
9.01 km per L,,9.16 L/100km
4.42 km per L,16.80 MPG (AS),15.08 mpg Imp.
12.30 L/100 km,7.30 L/100km,9.95 km per L
15.18 MPG (AS),10.42 km per L,18.31 MPG (AS)
29.73 mpg Imp.,15.38 km/L,8.15 liters per 100 km
8.33 km per L,8.10 liters per 100 km,10.24 L/100 km
28.82 mpg Imp.,0.82 L/10km,9.08 L/100 km
6.76 km per L,10.40 liters per 100 km,18.35 MPG (AS)
11.20 L/100km,11.24 km/L,10.16 L/100 km
6.62 km per L,0.94 L/10km,12.54 L/100km
11.80 L/100km,11.11 km per L,not-available
19.09 mpg Imp.,16.11 MPG (AS),6.80 km/L
7.10 L/100 km,34.09 MPG (AS),0.70 L/10km
17.10 L/100 km,25.22 mpg Imp.,16.28 MPG (AS)
16.14 mpg Imp.,8.70 km per L,14.80 L/100 km
13.80 L/100km,8.20 L/100 km,25.04 mpg Imp.
14.70 liters per 100 km,9.10 L/100km,19.31 MPG (AS)
18.22 mpg Imp.,26.14 MPG (AS),18.70 MPG (AS)
5.20 liters per 100 km,5.50 liters per 100 km,52.95 mpg Imp.
21.00 liters per 100 km,11.50 liters per 100 km,16.73 liters per 100 km
,45.56 mpg Imp.,8.79 L/100 km
,6.90 L/100 km,7.67 liters per 100 km
10.20 L/100km,40.35 mpg Imp.,0.88 L/10km
5.85 km per L,15.10 L/100 km,16.20 L/100 km
12.20 liters per 100 km,13.16 km/L,9.87 km per L
,10.50 L/100km,1.48 L/10km
12.00 L/100 km,12.50 km per L,10.20 liters per 100 km
6.45 km/L,6.06 km per L,17.71 mpg Imp.
14.20 liters per 100 km,10.40 L/100 km,12.49 L/100km
20.70 L/100 km,11.70 L/100 km,16.65 L/100km
6.90 L/100km,6.00 L/100 km,0.65 L/10km
11.60 L/100km,11.36 km per L,10.34 L/100km
zero,7.90 L/100km,25.36 MPG (AS)
14.60 L/100 km,31.74 mpg Imp.,8.31 km per L
9.10 L/100 km,12.99 km/L,8.47 L/100 km
26.16 mpg Imp.,11.36 km per L,0.99 L/10km
6.62 km/L,24.50 MPG (AS),12.62 liters per 100 km
7.19 km/L,8.06 km per L,21.36 mpg Imp.
10.80 L/100 km,7.50 liters per 100 km,0.93 L/10km
10.00 km per L,8.30 L/100 km,9.23 L/100km
10.30 L/100km,7.70 liters per 100 km,0.91 L/10km
19.20 liters per 100 km,14.50 L/100 km,17.09 liters per 100 km
25.00 mpg Imp.,8.90 liters per 100 km,27.64 mpg Imp.
7.30 km/L,9.00 liters per 100 km,11.59 L/100 km
34.45 mpg Imp.,7.10 L/100km,0.77 L/10km
12.05 km/L,,7.49 liters per 100 km
1.19 L/10km,30.55 MPG (AS),9.99 km per L
10.30 liters per 100 km,11.24 km/L,9.67 liters per 100 km
0.95 L/10km,8.40 L/100km,26.12 MPG (AS)
1.12 L/10km,25.29 MPG (AS),10.35 liters per 100 km
16.81 mpg Imp.,24.00 MPG (AS),13.65 L/100km
4.20 liters per 100 km,0.62 L/10km,5.10 L/100km
1.69 L/10km,9.50 L/100km,20.82 mpg Imp.
18.82 MPG (AS),8.40 liters per 100 km,10.65 L/100 km
21.90 mpg Imp.,0.83 L/10km,9.23 km/L
12.40 L/100km,7.00 L/100 km,1.00 L/10km
6.29 km per L,18.23 MPG (AS),14.55 liters per 100 km
20.82 MPG (AS),0.85 L/10km,9.96 km/L
